Title,Subtitle,Status,SupportStatus,Year,imdbRating,Studio,Earnings,Budget,Key,Remarks,Interesting?
STRATEGIC AIR COMMAND,,APPROVED,Assisted,1955,,,,,STRATEGIC AIR COMMAND_1955,"CLASSIC COLD WAR MOVIE ABOUT THE STRATEGIC AIR COMMAND AND ITS MISSION. JIMMY STEWART PLAYS A BASEBALL PLAYER RECALLED TO ACTIVE DUTY TO FLY B-47'S. FILM MADE WITH ASSISTANCE OF CURTIS LEMAY AND THE AIR FORCE WHICH PROVIDED MEN, EQUIPMENT, AND MOST IMPORTANT, AIRPLANES INCLUDING THE NEWLY DELIVERED B-52. THE FILMMAKERS DESIRE TO FILM CLOSE ORDER TAKEOFFS CAUSED MAJOR DAMAGE TO THE JET ENGINES AS THE PLANES TAXIED IN CLOSE ORDER. HUNDREDS OF THOUSANDS OF DOLLARS HAD TO BE SPENT ON REPAIRS. NOT REIMBURSED. BUT GREAT BENEFIT TO SAC.",Y
ATTACK!,,DENIED,Not assisted,1956,,,,,ATTACK!_1956,ATTACK! WAS THE FIRST MAJOR MILITARY MOVIE IN THE POST-WORLD WAR II PERIOD WHICH DID NOT RECEIVE ARMY COOPERATION BECAUSE OF THE STORY LINE IN WHICH AN ENLISTED MAN KILLED HIS COMMANDER DUE TO THE OFFICER'S INCOMPETENCE.,
AWAY ALL BOATS,,APPROVED,Assisted,1956,,,,,AWAY ALL BOATS_1956,"FULL NAVY COOPERATION PORTRAYING AMPHIBIOUS LANDINGS, USE OF SHIPS AND LANDING CRAFT",
BATTLE HYMN,,OTHER,Not assisted,1956,,,,,BATTLE HYMN_1956,"STORY OF DEAN HESS, JET FIGHTER PILOT IN KOREA TURNED MINISTER. AIR FORCE GAVE FULL COOPERATION IN FORM OF PLANES, MEN, AND LOCALES",
BATTLE STATIONS,,APPROVED,Assisted,1956,,,,,BATTLE STATIONS_1956,"SLIGHTLY FICTIONALIZED STORY OF THE ATTACK ON THE USS FRANKLIN, CLOSE TO A DOCUDRAMA AND DOCUMENTARY OF LIFE ON A WORLD WAR II CARRIER. NAVY PROVIDED USE OF CARRIER AND COMBAT FOOTAGE.",
BETWEEN HEAVEN AND HELL,,APPROVED,Assisted,1956,,,,,BETWEEN HEAVEN AND HELL_1956,TYPICAL WORLD WAR II MOVIE IN WHICH HERO BECOMES A DIFFERENT PERSON FROM HIS EXPERIENCES. ARMY PROVIDED MEN AND EQUIPMENT,
"BOLD AND THE BRAVE, THE",,OTHER,Not assisted,1956,,,,,"BOLD AND THE BRAVE, THE_1956","WORLD WAR II ARMY FILM, FOCUSED ON MEN DOING THE FIGHTING IN ITALY",
"D-DAY, THE SIXTH OF JUNE",,LIMITED,Assisted,1956,,,,,"D-DAY, THE SIXTH OF JUNE_1956","LOVE STORY SET IN DAYS BEFORE D-DAY. SMALL SCALE LANDING FILMING ON CALIFORNIA COAST NORTH OF LOS ANGELES. ARMY PROVIDED LIMITED ASSISTANCE IN FORM OF TECHNICAL ADVISOR, EQUIPMENT, AND MEN",
GIANT,,LIMITED,Assisted,1956,,,,,GIANT_1956,ARMY PROVIDED BURIAL DETAIL FOR ONE SCENE IN THE MOVIE,
HOLD BACK THE NIGHT,,APPROVED,Assisted,1956,,,,,HOLD BACK THE NIGHT_1956,STORY OF MARINE RETREAT FROM THE YALU. FILMED WITH FULL MARINE COOPERATION. MEN AND EQUIPMENT,
"GIRL HE LEFT BEHIND, THE",,APPROVED,Assisted,1956,,,,,"GIRL HE LEFT BEHIND, THE_1956",SILLY ARMY COMEDY FOLLOWS NEW RECRUIT THROUGH TRIALS AND TRIBULATIONS,
"BAILOUT AT 43,000 FEET",,APPROVED,Assisted,1957,,,,,"BAILOUT AT 43,000 FEET_1957","FULL AIR FORCE COOPERATION ON STORY OF THE DEVELOPMENT OF THE EJECTION SYSTEM FOR B-475. MEN, PLANES, LOCALES",
"D.I., THE",,APPROVED,Assisted,1957,,,,,"D.I., THE_1957","THIS IS THE CLASSIC PORTRAYAL OF A D.I. TURNING RECRUITS INTO MARINES. THE CORP'S IMAGE HAD SUFFERED FROM SEVERAL TRAINING ACCIDENTS IN PRIOR YEARS AND JACK WEBB'S PORTRAYAL HELPED RE-ESTABLISH THE IMAGE OF THE CORPS AS COMPRISED OF A FEW GOOD MEN. MARINES PROVIDED FULL COOPERATION AT PARRIS ISLAND, LOCALES, MEN, AND EQUIPMENT.",Y
BOMBERS B-52,,APPROVED,Assisted,1957,,,,,BOMBERS B-52_1957,PRO-SAC FILM MADE WITH FULL COOPERATION OF CURTIS LEMAY AND THE AIR FORCE. PORTRAYED THE TRANSITION FROM 0475 TO B-SZS. BLATANT PROPAGANDA FOR SAC MISSION,Y
BEGINNING OF THE END,,OTHER,Not assisted,1957,,,,,BEGINNING OF THE END_1957,"TYPICAL ATOMIC GENERATED ENEMY, IN THIS CASE GIANT GRASSHOPPERS, ILLINOIS NATIONAL GUARD TRIES AND FAILS TO STOP ADVANCE TOWARD CHICAGO. REGULAR ARMY BROUGHT IN IN FORM OF ABOUT FIVE MINUTES OF STOCK COMBAT FOOTAGE SHOWING TANKS, TRUCKS, ARTILLERY, MEN ALL FIRING AT GRASSHOPPERS WITHOUT SUCCESS. THE MILITARY (ACTORS TO BE SURE) APPEARS THROUGHOUT FILM AS AUTHORITY FIGURES DOING BEST TO SAVE THE WORLD.",Y
DEADLY MANTIS,,OTHER,Not assisted,1957,,,,,DEADLY MANTIS_1957,"TYPICAL SCIENCE FICTION IN WHICH MILITARY IS CALLED IN TO DEFEAT MONSTER, LIMITED HELP FROM ARMY, NAVY, AIR FORCE",
DON'T GO NEAR THE WATER,,APPROVED,Assisted,1957,,,,,DON'T GO NEAR THE WATER_1957,NAVY COMEDY IN SOUTH SEAS WORLD WAR II SETTING. SAILORS BUILDING A RECREATION HALL ON ISLAND-NAVY PROVIDED FULL COOPERATION (MOSTLY SAILORS AND SHIPS IN BACKGROUND).,
ENEMY BELOW,,APPROVED,Assisted,1957,,,,,ENEMY BELOW_1957,FULL COOPERATION AT PEARL HARBOR FROM NAVY. PORTRAYS DUEL BETWEEN AN AMERICAN DESTROYER AND GERMAN SUBMARINE. GERMAN AND AMERICAN ARE BROTHERS IN ARMS WITH NO MENTION OF NATURE OF REGIME FOR WHICH THE GERMAN IS FIGHTING.,
HEAVEN KNOWS MR ALLISON,,APPROVED,Assisted,1957,,,,,HEAVEN KNOWS MR ALLISON_1957,THE MARINES PROVIDED A SMALL LANDING FORCE AS BACKGROUND FOR RESCUE OF A MARINE AND A NUN FROM A SOUTH PACIFIC ISLAND DURING WORLD WAR II. REAL PROBLEM CAME FROM PRODUCTION CODE OFFICE WHICH WAS CONCERNED THAT THE STORY MIGHT TAKE AN ANTI-CATHOLIC APPROACH.,
HELLCATS OF THE NAVY,,APPROVED,Assisted,1957,,,,,HELLCATS OF THE NAVY_1957,NAVY GAVE FULL COOPERATION TO SUBMARINE MOVIE STARRING RONALD AND NANCY REAGAN. TYPICAL FILM WHICH INVOLVED CLASH BETWEEN CAPTAIN WHO DOESN'T THINK EXEC IS READY FOR COMMAND AND EXEC WHO THINKS HE IS.,Y
JET PILOT,,APPROVED,Assisted,1957,,,,,JET PILOT_1957,"HOWARD HUGHES MADE FILM IN 1950 WITH ASSISTANCE FROM AIR FORCE. HOWEVER, HE DID NOT RELEASE IT FOR SEVEN YEARS. CHUCK YEAGER DID SOME OF FLYING SEQUENCES WHILE-STILL IN AIR FORCE. JOHN WAYNE AS AMERICAN PILOT FALLS IN LOVE WITH RUSSIAN WOMEN JET ACE.",
SAYONARA,,APPROVED,Assisted,1957,,,,,SAYONARA_1957,"AIR FORCE INITIALLY RELUCTANT TO PROVIDE ASSISTANCE BECAUSE OF INTERRACIAL DATING AND SUICIDE OF ONE OF ITS ENLISTED MEN. ULTIMATELY, PROVIDED PLANES AND EQUIPMENT",Y
WINGS OF EAGLES,,APPROVED,Assisted,1957,,,,,WINGS OF EAGLES_1957,"STORY OF EARLY NAVY AVIATOR, SPIG WEAD. AFTER HE SUFFERED A PARALYZING ACCIDENT, WENT TO HOLLYWOOD AND BECAME SCREENWRITER, PARTICULARLY OF NAVY STORIES THAT HELPED RECRUITING, ETC. WORKED EXTENSIVELY WITH JOHN FORD AND JOHN WAYNE PLAYED WEAD IN THIS SOMEWHAT FICTIONALIZED STORY. PARTICULAR COOPERATION ON WORLD WAR II SEQUENCES WHERE WEAD RETURNS TO ACTIVE DUTY AND IS CREDITED WITH DEVELOPING CONCEPT OF AUXILIARY CARRIERS.",
DEEP SIX,,APPROVED,Assisted,1958,,,,,DEEP SIX_1958,NAVY PROVIDED FULL COOPERATION ON FILM ABOUT A QUAKER IN THE SERVICE WHO BECOMES A HERD AFTER EARLY INABILITY TO FIGHT.,
BEAST OF BUDAPEST,,LIMITED,Assisted,1958,,,,,BEAST OF BUDAPEST_1958,STORY OF HUNGARIAN UPRISING OF 1956. ARMY PROVIDED A FEW TANKS FOR SCENES OF SOVIET TANKS COMING INTO BUDAPEST,
DARBY'S RANGERS,,APPROVED,Assisted,1958,,,,,DARBY'S RANGERS_1958,ARMY PROVIDED FULL COOPERATION ON STORY BASED ON FACT OF RANGERS IN NORTH AFRICA AND ITALY DURING WORLD WAR II. SERVICE PROVIDED MEN AND EQUIPMENT.,
DEEP FREEZE,,OTHER,Not assisted,1958,,,,,DEEP FREEZE_1958,NEED ADDITIONAL INFORMATION,
FRAULEIN,,LIMITED,Assisted,1958,,,,,FRAULEIN_1958,"ARMY PROVIDED LIMITED ASSISTANCE WITH MEN, BACKGROUND, AND EQUIPMENT ON LOCATION IN GERMANY--FILM SET IN LAST DAYS OF THE WAR AND DURING THE OCCUPATION",
"HUNTERS, THE",,APPROVED,Assisted,1958,,,,,"HUNTERS, THE_1958",BIG BUDGET FILM ABOUT JET FIGHTERS IN KOREA AND THEIR BATTLES WITH SOVIET MIGS. AIR FORCE PROVIDED PLANES USED IN SPECTACULAR FLYING SEQUENCES AND PROVIDED GUN CAMERA STOCK FOOTAGE.,
IN LOVE AND WAR,,LIMITED,Assisted,1958,,,,,IN LOVE AND WAR_1958,ARMY PROVIDED LIMITED ASSISTANCE IN WORLD WAR II FILM SHOWING EFFECT OF WAR ON THREE SOLDIERS. SOME MEN AND EQUIPMENT IN BACKGROUND,
KINGS GO FORTH,,APPROVED,Assisted,1958,,,,,KINGS GO FORTH_1958,ROMANCE SET IN FRANCE DURING WORLD WAR II. TWO FRIENDS FALL FOR SAME FRENCH GIRL NOT KNOWING SHE IS HALF-BLACK. ARMY PROVIDED MEN AND EQUIPMENT,Y (UM...WHAT?)
"YOUNG LIONS, THE",,APPROVED,Assisted,1958,,,,,"YOUNG LIONS, THE_1958","PENTAGON AND STATE DEPARTMENT WENT THROUGH LONG PERIOD OF NEGOTIATIONS BEFORE AGREEING TO COOPERATION. PART OF PROBLEM WAS PORTRAYAL OF GERMAN OFFICER PORTRAYED BY MARLON BRANDO. IN IRWIN SHAW‘S BOOK, HE WAS A CRUEL NAZI. GIVEN REHABILITATION OF GERMAN IMAGE DUE TO COLD WAR ALLIANCES, BRANDO BECOMES A GUILT-STRUCK, GOOD GERMAN. ANTI-SEMITISM WITHIN ARMY ALSO PLAYED DOWN",
NAKED AND THE DEAD,,APPROVED,Assisted,1958,,,,,NAKED AND THE DEAD_1958,NORMAN MAILER'S NOVEL OF SAME NAME TRANSFERRED TO SCREEN WITH ARMY ASSISTANCE AFTER EXTENSIVE NEGOTIATIONS,
"RUN DEEP, RUN SILENT",,APPROVED,Assisted,1958,,,,,"RUN DEEP, RUN SILENT_1958","NAVY PROVIDED FULL ASSISTANCE TO FILM WHICH MANY CONSIDER A CLASSIC SUBMARINE STORY. HELP INCLUDED SUBMARINE FOR EXTERIOR SHOTS AND PIECES OF EQUIPMENT TO CREATE INTERIORS. HOWEVER FILM IS FILLED WITH PROBLEMS INCLUDING SPRINGBOARD IN WHICH HERO'S SUBMARINE IS DESTROYED IN SOUTH CHINA SEA, FLOATS ON SURFACE, AND ENDS UP BACK IN HAWAII WITH NO EXPLANATION. ALSO CONFLICT BETWEEN CAPTAIN AND EXEC OFFICER. ALSO, MODEL OF SUBMARINE UNDER WATER HAS BUBBLES COMING FROM SCREW",
SOUTH PACIFIC,,APPROVED,Assisted,1958,,,,,SOUTH PACIFIC_1958,"THE MARINES AND THE NAVY PROVIDED MEN AND EQUIPMENT FOR THE MUSICAL. BOTH SERVICES DID HAVE SOME PROBLEMS WITH THE STORY AND IMAGES, BUT OVERLOOKED THEM BECAUSE OF THE GENRE",Y
TORPEDO RUN,,APPROVED,Assisted,1958,,,,,TORPEDO RUN_1958,DULL WORLD WAR II SUBMARINE STORY WHICH RECEIVED THE USUAL SUBMARINE FROM THE NAVY. BASED LOOSELY ON TRUE STORY IN WHICH A SUB CAPTAIN SINKS A JAPANESE FREIGHTER (WHILE TRYING TO HIT AN AIRCRAFT CARRIER] ON WHICH HIS FAMILY WAS SAILING TO POW CAMP,
CLIPPED WINGS,,LIMITED,Assisted,1959,,,,,CLIPPED WINGS_1959,"FULL NAVY COOPERATION, SHIPS, MEN AND EQUIPMENT FOR STORY SET IN BATTLE OF CORAL SEA",
DON'T GIVE UP THE SHIP,,LIMITED,Assisted,1959,,,,,DON'T GIVE UP THE SHIP_1959,JERRY LEWIS LOSES A BATTLESHIP AND CAN'T REMEMBER WHERE HE PUT IT. ONE OF HIS BEST COMEDIES. NAVY PROVIDED A FEW SCENES OF SHIPS AS BACKGROUND,Y
JOHN PAUL JONES,,APPROVED,Assisted,1959,,,,,JOHN PAUL JONES_1959,"FILM BIOGRAPHY OF JOHN PAUL JONES. FILM OPENS AND CLOSES WITH SCENES OF MODERN NAVY SHIPS INCLUDING SHOTS ABOARD AN AIRCRAFT CARRIER. STORY THEN TOLD IN A FLASHBACK, ALBEIT NOT A COMPLETELY ACCURATE RENDERING OF JONES' LIFE. HOWEVER MESSAGE IN FILM IS THE NEED FDR THE UNITED STATES TO HAVE A STRONG NAVY TO PRoTECT IT",
ON THE BEACH,,OTHER,Not assisted,1959,,,,,ON THE BEACH_1959,"NAVY HAD MAJOR PROBLEMS WITH SCRIPT, PARTICULARLY THE IMPLICATION THAT THE US. MIGHT HAVE CAUSED WORLD WAR III. YET PORTRAYAL OF GREGORY PECK AS AMERICAN SUBMARINE CAPTAIN IS VERY POSITIVE. NAVY GAVE DIRECTOR STANLEY KRAMER A RIDE ABOARD NUCLEAR SUB AND ART DEPT ACCESS TO SUB. REFUSED TO SEND A SUB TO AUSTRALIA. KRAMER SECURED USE OF AUSTRALIAN SUB. AFTER FILMING DONE, AMERICAN SUB DID SHOW UP, BUT TOO LATE",
OPERATION PETTICOAT,,APPROVED,Assisted,1959,,,,,OPERATION PETTICOAT_1959,"NAVY GAVE FULL COOPERATION FOR STORY BASED ON ACTUAL EVENTS AT BEGINNING OF WORLD WAR I WHEN A SUBMARINE RESCUED NURSES IN THE PHILIPPINES. SUB LOOKED ""PINK"" BECAUSE IT WAS BEING PAINTED WHEN WAR BEGAN.",
PORK CHOP HILL,,APPROVED,Assisted,1959,,,,,PORK CHOP HILL_1959,"ARMY GAVE FULL COOPERATION TO STORY OF ASSAULT ON UNIMPORTANT HILL IN KOREA DURING FINAL STAGES OF TRUCE NEGOTIATIONS. BOTH SIDES KNEW HILL WAS OF NO VALUE EXCEPT FOR AMERICAN DEMONSTRATION OF WILLINGNESS TO KEEP FIGHTING IF NECESSARY. MEN KNEW THIS, BUT OBEYED ORDERS AND TOOK HILL. PRODUCER MADE MOVIE TO SHOW FUTILITY OF WAR AND TO SHOW THAT BLACKS HAD FOUGHT BRAVELY DESPITE STORIES TO THE CONTRARY FOLLOWING THE BATTLE",Y
ALL THE YOUNG MEN,,APPROVED,Assisted,1960,,,,,ALL THE YOUNG MEN_1960,MARINES PROVIDED MEN AND EQUIPMENT FOR COMBAT SEQUENCES IN MOVIE SET IN KOREAN WAR,
HELL TO ETERNITY,,APPROVED,Assisted,1960,,,,,HELL TO ETERNITY_1960,WORLD WAR II MARINE FILM BASED ON TRUE STORY OF MARINE WHO HAD BEEN RAISED BY JAPANESE FOSTER PARENTS. FILM CONTAINS MANY BATTLE SCENES CREATED WITH HELP OF MARINES.,
I AIM AT THE STARS,,APPROVED,Assisted,1960,,,,,I AIM AT THE STARS_1960,"ARMY WANTED FILM MADE TO SHOW HOW IT WAS DEVELOPING ITS MISSILES AND HOW IT HAD PUT THE FIRST SATELLITE INTO ORBIT. FILM BECOMES A BIOGRAPHY OF WERNHER VON BRAUN, SHOWING HIS NAZI ORIGINS AND REHABILITATION AS AMERICAN HERO. MUCH CONTROVERSY. NASA REFUSED TO COOPERATE BECAUSE IT DID NOT WANT TO BE ASSOCIATED WITH MAN WHO BUILT ROCKETS WHICH HIT LONDON--UNCHARITABLY SUBTITLED BY SOME CRITICS: ""BUT SOMETIMES I HIT LONDON."" ARMY GAVE FULL ASSISTANCE.",
GALLANT HOURS,,APPROVED,Assisted,1960,,,,,GALLANT HOURS_1960,"DRAMATIZATION OF ADMIRAL HALSEY'S VICTORY AT BATTLE OF GUADALCANAL SEA. ROBERT MONTGOMERY WHO HAD SERVED ON HALSEY‘S STAFF CLAIMED FILM HISTORICALLY ACCURATE ACCOUNT. HOWEVER, FILM ENDS WITH THE SHOOTING DOWN OF ADMIRAL YAMAMOTO, EVEN THOUGH THAT INCIDENT ACTUALLY TOOK PLACE FIVE MONTHS LATER. VERY LITTLE COOPERATION AND NO BATTLE SCENES--JUST SAILORS LISTENING ON LOUDSPEAKERS.",
GI BLUES,,APPROVED,Assisted,1960,,,,,GI BLUES_1960,"ARMY PROVIDED MEN, EQUIPMENT, AND LOCALES FOR ELVIS PRESLEY FILM SET IN GERMANY",
"GREAT IMPOSTOR, THE",,LIMITED,Assisted,1960,,,,,"GREAT IMPOSTOR, THE_1960","LIMITED ASSISTANCE, DATE APPROXIMATE, NO FILE",
X-15,,APPROVED,Assisted,1961,,,,,X-15_1961,AIR FORCE AND NASA PROVIDED FULL COOPERATION ON DOCUDRAMA ABOUT X-15 PROGRAM,
ALL HANDS ON DECK,,APPROVED,Assisted,1961,,,,,ALL HANDS ON DECK_1961,NAVY PROVIDED USE OF LOCATIONS AND A SHIP FOR THIS COMEDY SET IN WORLD WAR II,
ARMORED COMMAND,,APPROVED,Assisted,1961,,,,,ARMORED COMMAND_1961,ARMY PROVIDED MEN AND EQUIPMENT FOR WORLD WAR II STORY,
BATTLE AT BLOODY BEACH,,APPROVED,Assisted,1961,,,,,BATTLE AT BLOODY BEACH_1961,"FULL ARMY COOPERATION ON WORLD WAR II FILM, MEN AND EQUIPMENT",
CRY FOR HAPPY,,LIMITED,Assisted,1961,,,,,CRY FOR HAPPY_1961,PEACETIME MOVIE SET IN OCCUPIED JAPAN WITH NAVY PHOTO TEAM SETTING UP HOUSEKEEPING IN A GEISHA HOUSE. LIMITED USE OF MEN AND SHIPS AS BACKGROUND,
DEVIL AT FOUR O'CLOCK,,OTHER,Not assisted,1961,,,,,DEVIL AT FOUR O'CLOCK_1961,NEED ADDITIONAL INFORMATION,
DONDI,,OTHER,Not assisted,1961,,,,,DONDI_1961,ARMY PROVIDED COURTESY ASSISTANCE TO STORY OF WAR ORPHAN ADOPTED BY SOLDIERS AND BROUGHT TO THE UNITED STATES,
JUDGMENT AT NUREMBERG,,APPROVED,Assisted,1961,,,,,JUDGMENT AT NUREMBERG_1961,"A STANLEY KRAMER ""MESSAGE"" FILM. TRIAL OF GERMAN JUDGES WHO CARRIED OUT HITLER'S LEGAL DECREES. ARMY OFFICER IS CHIEF PROSECUTOR AND FILM SET IN GERMANY. MILITARY PROVIDED ASSISTANCE IN FORM OF EQUIPMENT AND SOLDIERS",
"MARINES, LET'S GO",,LIMITED,Assisted,1961,,,,,"MARINES, LET'S GO_1961","MARINE CORPS DID NOT WANT TO COOPERATE WITH STORY SET ON KOREAN WAR BATTLEFIELDS AND COMEDY OLIRINS LEAVE IN TOKYO. HOWEVER, THE MARINES FELT THEY OWEO DIRECTOR RAOUL WALSH FOR THE EARLIER ”WHAT PRICE GLORY"" ANO ""BATTLE CRY"" AND SO GAVE HIM SOME MEN AND EQUIPMENT AT MARINE CORPS BASE, PENDLETON",
"OUTSIDER, THE",,APPROVED,Assisted,1961,,,,,"OUTSIDER, THE_1961","MARINES GAVE FULL COOPERATION AT RECRUIT DEPOT IN SAN DIEGO AND AT CAMP PENDLETON FOR STORY ABOUT IRA HAYES, AN AMERICAN INDIAN WHO HELPED RAISE THE FLAG ON IWO JIMA. SHOWED HOW THE MARINES, THE MILITARY, AND THE GOVERNMENT USED HAYES TO RAISE BONDS FOR WAR EFFORT BUT DID NOT HELP HIM WHEN HE BECAME ALCOHOLIC. GEN. VICTOR KRULAK BELIEVES THE MARINES WERE GUILTY OF HIS DEATH BECAUSE OF THIS. FILMMAKERS TONED DOWN DEATH OF HAYES.",
FREDDY,PAPER PLATE HERO,APPROVED,Assisted,,,,,,FREDDY_,THE FILM WAS APPROVED BY NUMEROUS SERVICES AND IN THE BEST INTEREST OF THOSE SERVICES. FREDDY WAS THE THIRD FILM TITLE ON THE SAME MARINE CORP SERGEANT. NO RECORD THAT FILM WAS EVER MADE.,
HELL IS FOR HEROES,,APPROVED,Assisted,1962,,,,,HELL IS FOR HEROES_1962,"WORLD WAR II DRAMA ABOUT A SMALL UNIT FORCED TO TRY TO STOP A GERMAN ATTACK. ARMY PROVIDED MEN AND EQUIPMENT TO STAGE BATTLE SCENES. FILM CONSIDERED BETTER THAN MOST OF TYPE IN PART DUE TO WRITING OF ROBERT PIROSH, WHO PREVIOUSLY WON AN OSCAR FOR ""BATTLEGROUND.""",
FLIGHT FROM ASHIYA,,LIMITED,Assisted,1962,,,,,FLIGHT FROM ASHIYA_1962,"MOVIE ABOUT AIR FORCE RESCUE ATTEMPT, PROVIDED LIMITED EQUIPMENT AND MEN AS BACKGROUND",
"LONGEST DAY, THE",,APPROVED,Assisted,1962,,,,,"LONGEST DAY, THE_1962","ARMY, NAVY, AND MARINES GAVE FULL COOPERATION TO RECREATION OF D-DAY. HOWEVER, MASSIVE SCALE OF PRODUCTION SUPPORT RESULTED IN CONGRESSIONAL SCRUTINY AND CRITICISM. ASD(PA) ARTHUR SYLVESTER ORDERED AN INVESTIGATION OF WHOLE PROCESS. HIS NEW REGULATIONS REALLY CHANGED VERY LITTLE EXCEPT THAT FILMMAKERS NOW HAD TO REIMBURSE THE DOD FOR COSTS. ALSO, MILITARY EXTRAS MUST BE IN A LEAVE OR OFF-DUTY STATUS, AND BE HIRED BY THE PRODUCTION COMPANY. SOME POST PRODUCTION CONTROVERSY AROSE BECAUSE PRODUCER DARRYL ZANUCK REFUSED TO REMOVE A SCENE IN WHICH AMERICAN SOLDIERS KILL SOME GERMANS TRYING TO SURRENDER.",Y
MANCHURIAN CANDIDATE,,LIMITED,Assisted,1962,,,,,MANCHURIAN CANDIDATE_1962,DOD GAVE LIMITED ASSISTANCE TO HELP RECREATE OPENING POW SEQUENCE. STORY OF BRAINWASHED POW WHOM THE COMMUNISTS ARE USING AS A PROGRAMMED KILLER,
MCHALE'S NAVY,,LIMITED,Assisted,1962,,,,,MCHALE'S NAVY_1962,BASED ON TELEVISION SERIES ABOUT A PT-BOAT NAVY PROVIDED LIMITED ASSISTANCE,
MERRILL'S MARAUDERS,,APPROVED,Assisted,1962,,,,,MERRILL'S MARAUDERS_1962,"ARMY PROVIDED TECHNICAL ADVISOR, MEN, AND EQUIPMENT FOR FILM ABOUT FRANK MERRILL AND HIS SMALL BAND OF SOLDIERS FIGHTING IN THE BURMA JUNGLE AGAINST THE JAPANESE. TECHNICAL ADVISOR, GENERAL SAMUEL WILSON, WAS MERRILL'S EXECUTIVE OFFICER",
NO MAN IS AN ISLAND,,APPROVED,Assisted,1962,,,,,NO MAN IS AN ISLAND_1962,NAVY PROVIDED MEN AND A SHIP IN THE PHILIPPINES FOR WORLD WAR II STORY OF SAILOR TRAPPED ON GUAM FOR THREE YEARS DURING THE WAR. IMPORTANT ONLY FOR DEATH OF SAILOR WORKING ON EXPLOSIVES FDR FILM WHILE OFF DUTY.,
WAR HUNT,,DENIED,Not assisted,1962,,,,,WAR HUNT_1962,"SMALL STORY ABOUT KOREA. SOLDIER STEALS OFF INTO NIGHT TO KILL NORTH KOREAN ENEMY. AFTER ARMISTICE, HE CONTINUES TO KILL, POSING A THREAT TO PEACE. SO, HIS OWN MEN MUST KILL THE KILLER WHO IS CLEARLY DOING WHAT ARMY TAUGHT HIM TO DO. PENTAGON REFUSED ANY ASSISTANCE SHOWING ONE OF ITS MEN KILLING A FELLOW OFFICER",
BYE BYE BIRDIE,,LIMITED,Assisted,1963,,,,,BYE BYE BIRDIE_1963,"ROCK STAR (GUESS WHO) DRAFTED INTO ARMY. PENTAGON PROVIDED LIMITED, BACKGROUND HELP.",Y
"TREASURE OF VICTORIA PEAK, THE",,DENIED,Not assisted,,,,,,"TREASURE OF VICTORIA PEAK, THE_","THE FILM WAS FOUND TO BE NEGATIVE AND POSSIBLY MISLEADING. THE REQUEST FOR PERSONNEL, EQUIPMENT, AND ON SITE LOCATION WAS DENIED.",
PT-109,,APPROVED,Assisted,1963,,,,,PT-109_1963,STORY OF JFK AND HIS PT-BOAT SINKING DURING WORLD WAR II. NO GREAT AMOUNT OF HELP SINCE NAVY NO LONGER HAD PT-BOATS AND STUDIO HAD TO BUILD THEM. SOME MEN AND EQUIPMENT PROVIDED FOR PRODUCTION.,
"CAPT. NEWMAN, M.D.",,APPROVED,Assisted,1963,,,,,"CAPT. NEWMAN, M.D._1963","STORY OF ARMY PSYCHIATRIST DEALING WITH COMBAT FATIGUE DURING WORLD WAR II. ARMY PROVIDED MEN, EQUIPMENT AND FACILITIES FOR PART-DRAMA, PART-COMEDY FILM",
DONOVAN'S REEF,,OTHER,Not assisted,1963,,,,,DONOVAN'S REEF_1963,THE NAVY PROVIDED COURTESY ASSISTANCE ONLY TO JOHN WAYNE/JOHN FORD COMEDY SET ON PACIFIC ISLAND,Y
55 DAYS AT PEKING,,OTHER,Not assisted,1963,,,,,55 DAYS AT PEKING_1963,PERIOD PIECE ABOUT MARINES IN CHINA DURING THE BOXER REBELLION,
GATHERING OF EAGLES,,APPROVED,Assisted,1963,,,,,GATHERING OF EAGLES_1963,"POSITIVE PORTRAYAL OF SAC, COMPARED TO ""DR. STRANGELOVE"" AND ""FAIL SAFE,"" THEN IN PRODUCTION. FILM RECEIVED FULL COOPERATION FROM SAC AND SHOT ON MILITARY LOCATIONS.",
"GREAT ESCAPE, THE",,LIMITED,Assisted,1963,,,,,"GREAT ESCAPE, THE_1963",CLASSIC POW ESCAPE FILM BASED ON ACTUAL INCIDENT,Y
"THIN RED LINE, THE",,OTHER,Not assisted,1964,,,,,"THIN RED LINE, THE_1964",GOOD VERSION OF JAMES JONES' BOOK ABOUT COMBAT ON GUADALCANAL. MADE IN SPAIN BECAUSE STUDIO HAD MONEY TIED UP IN SPANISH BANK WHICH IT COULD NOT TRANSFER,
AMERICANIZATION OF EMILY,,OTHER,Not assisted,1964,,,,,AMERICANIZATION OF EMILY_1964,"FIRST AMERICAN MOVIE TO SHOW A MILITARY MAN AS A PROFESSED COWARD AND PROUD OF IT. JAMES GARNER IS A ""GO-FER' FOR HIS ADMIRAL IN THE WEEKS BEFORE D-DAY. THE ADMIRAL DECIDES THE FIRST DEAD AMERICAN ON OMAHA BEACH SHOULD BE A NAVY MAN. GARNER ULTIMATELY BECOMES A HERO AND EMILY APPROVES, THUS THE TITLE. NO RECORD OF COMPANY SEEKING COOPERATION GIVEN THE PORTRAYAL. HOWEVER, FILM IS IMPORTANT SINCE IT CONTAINED ANTI-WAR ARGUMENTS AS VIETNAM WAS HEATING UP.",Y
